TransactionTime,Amount,Location,CustomerBehavior,Success,CustomerName,Email,PhoneNumber,PaymentType,AccountNumber,CreditScore
2023-09-15 03:13:15,69826.95,Gabon,Suspicious,True,Conway-Hubbard,hayley19@example.org,001-520-957-8547x37788,Visa,502059090899,736
2021-02-14 04:20:10,4055.3,India,Suspicious,True,Clark-Owens,johnnyleon@example.net,772-651-8197x960,MasterCard,4077636475842267,704
2020-02-11 13:59:13,52988.59,Lesotho,Suspicious,True,Smith PLC,plee@example.com,801.342.2748,MasterCard,4952956028908771812,700
2021-04-28 21:38:14,2944.97,Afghanistan,Normal,True,Brown Group,james67@example.net,(827)526-0375x3274,MasterCard,639087036229,607
2021-01-12 14:09:20,43165.39,Macao,Normal,True,"Robles, Thomas and Fuentes",oodom@example.net,4197858466,BankTransfer,6011744079066806,678
2022-01-27 21:16:30,22933.82,Kyrgyz Republic,Normal,True,Ramirez-Powell,melanie28@example.net,+1-241-477-2632,BankTransfer,3507239643592203,669
2023-01-03 10:48:23,39571.81,Ethiopia,Normal,True,"Lane, Shelton and Hancock",philipevans@example.org,593.858.5601x845,MasterCard,6566729573987028,640
2021-10-16 16:16:57,76382.6,Comoros,Suspicious,True,Hernandez Inc,ohayes@example.net,707.564.7993,Visa,4522644835479540,781
2021-03-15 22:21:51,858.37,Azerbaijan,Normal,False,"Kennedy, Rodriguez and Lambert",shelia17@example.com,001-814-799-2271x3584,MasterCard,630478143435,614
2023-03-29 09:05:46,68580.78,Thailand,Suspicious,True,"Norris, Owens and Carroll",heatherwilson@example.net,001-713-346-0594x71365,Visa,4614823145979063,848
2020-02-10 09:38:52,7090.38,Luxembourg,Suspicious,True,Hudson-Thomas,vbray@example.net,438.872.5488,BankTransfer,180045339823004,680
2021-11-29 16:47:41,180.95,Maldives,Suspicious,False,Bradley Group,jillgibbs@example.org,501-639-5638,Visa,6011095837691314,740
2021-04-03 03:02:29,30551.5,Egypt,Normal,True,White and Sons,kdean@example.net,873.631.9278,MasterCard,5229777327983836,828
2022-04-29 14:03:38,39759.76,American Samoa,Suspicious,True,Holland-Huang,mcgeelance@example.com,001-575-257-1526x5522,Visa,38310287612484,839
2021-02-08 06:25:09,67751.15,United Kingdom,Suspicious,True,"Perry, Rasmussen and Kelly",dominicmyers@example.net,001-259-442-8825,Visa,379917940150624,704
2022-01-04 10:02:39,79352.69,Yemen,Normal,True,"Thompson, Wilson and Taylor",davidmelanie@example.net,+1-687-966-0092x63546,MasterCard,4171730580023098,640
2020-10-15 12:06:50,3306.81,Belarus,Suspicious,True,"Ford, Glenn and Pollard",fhines@example.org,(757)740-8985,MasterCard,676123714997,668
2021-11-02 17:52:50,91219.25,Romania,Suspicious,True,"Shields, Rice and Gonzalez",andersonjessica@example.com,(203)744-9383x380,Visa,639093885577,674
2020-11-14 13:10:18,5103.01,Cote d'Ivoire,Normal,True,"Fox, Ward and Rodriguez",david18@example.com,001-487-961-6871,Visa,4277819010956291,818
2023-04-20 08:45:06,46455.09,Greenland,Suspicious,True,Andrews Inc,richard67@example.org,531-675-4140x79953,MasterCard,30139252571245,721
2021-08-16 10:32:34,28629.13,Iran,Suspicious,True,Barker-Luna,kayleepitts@example.net,(963)852-8482x227,Visa,3522279974438841,631
2023-07-15 14:10:53,56757.49,Syrian Arab Republic,Suspicious,True,"Kelly, Wagner and Levine",alexis59@example.net,315-364-1850x653,BankTransfer,4537431133094996,809
2020-05-13 16:46:43,68426.92,Anguilla,Suspicious,True,"Shannon, Fields and Barrett",nicolealvarez@example.com,960.444.6384,MasterCard,4200001841222,715
2023-03-22 19:58:34,53664.53,Slovenia,Normal,True,Lawson-Fleming,xcarter@example.com,+1-835-737-2983,MasterCard,4122012211882,845
2020-02-05 04:28:57,5407.42,Anguilla,Suspicious,True,"Hill, Kidd and Carroll",cynthiaclark@example.org,7785663109,Visa,6011603366279896,820
2020-01-02 21:13:51,46193.97,Holy See (Vatican City State),Normal,True,"Murphy, Andrews and Ward",jenkinsjessica@example.net,+1-717-557-9967x249,MasterCard,4547598629838507085,816
2023-04-18 17:57:23,1113.02,Solomon Islands,Normal,True,Chandler-Morton,vtran@example.net,5345799495,BankTransfer,060421679220,745
2022-03-23 16:37:59,73225.42,Bouvet Island (Bouvetoya),Suspicious,True,Price-Cook,morenomelissa@example.org,628-884-9287x70217,MasterCard,4599977515179214,760
2020-04-29 07:46:40,81732.46,Djibouti,Suspicious,True,"Woods, Johnson and Owens",kgreen@example.org,(563)648-8686x1619,Visa,630400153312,822
2023-01-02 00:42:15,37324.95,Iceland,Suspicious,True,"Webb, Wallace and Sexton",rhoover@example.com,+1-327-499-6907x430,Visa,30247739017185,629
2022-06-03 01:19:52,97374.99,Suriname,Suspicious,True,"Robinson, Shields and Garcia",heather05@example.org,001-812-303-7536x17297,BankTransfer,3598032356047410,727
2023-01-16 18:27:15,43642.92,France,Normal,True,Harris Group,andreaschneider@example.net,(592)616-8064x210,BankTransfer,346747040298431,716
2023-02-02 13:59:43,52042.9,Norfolk Island,Suspicious,True,Rios-Vaughn,louis59@example.com,(890)255-0464x077,MasterCard,3590542919621517,651
2023-09-29 00:04:53,35716.36,Argentina,Suspicious,True,"Dougherty, Gonzalez and Martin",johnsonadam@example.com,(865)426-1276,MasterCard,30396343502700,726
2021-07-22 09:22:37,38190.97,Italy,Normal,True,"Long, Bonilla and Gray",zroberts@example.com,001-515-269-3200,Visa,4842429624108747,832
2021-05-03 05:09:49,63810.54,Iraq,Normal,True,Martin-Joseph,henrykirk@example.net,981.300.6862x7877,MasterCard,581840960834,614
2023-08-10 10:07:14,88533.67,Ukraine,Normal,True,"Fitzpatrick, Holmes and Cannon",droberts@example.com,763-599-1029x044,Visa,630477461184,720
2020-06-05 14:21:49,87843.89,Niue,Normal,True,"Delacruz, Harrison and Fletcher",barbaranelson@example.net,667.649.1896,MasterCard,3530027172625622,641
2023-12-02 19:28:28,302.71,North Macedonia,Normal,False,"White, Schwartz and Sanford",ethan96@example.org,(424)311-1393,MasterCard,4548003520741625,718
2022-08-23 02:48:29,97508.96,Bouvet Island (Bouvetoya),Normal,True,Duffy Group,vyu@example.com,673.881.8591x1789,MasterCard,341489100886905,648
2020-04-24 14:33:49,50297.25,Israel,Suspicious,True,Wagner Inc,tmarquez@example.org,(829)655-9456x21364,MasterCard,4864689353022,651
2022-04-23 20:58:51,707.2,Lao People's Democratic Republic,Suspicious,False,"Wilson, Lopez and Watson",justinshaw@example.org,001-749-752-6106x0874,Visa,30354365647838,695
2020-03-18 22:16:08,852.44,Latvia,Suspicious,False,"Blackwell, Harris and Williams",julie60@example.org,377.334.7855x46725,BankTransfer,4525810954995645181,655
2022-11-10 22:07:49,24772.17,Croatia,Normal,True,Davis Ltd,bryanmurphy@example.com,906.823.4268,Visa,676270828988,610
2020-12-23 00:13:40,67882.18,Cambodia,Suspicious,True,Raymond-Harrington,norma64@example.net,+1-281-567-9127,MasterCard,4101782337457,702
2022-09-16 20:12:11,18713.31,Sri Lanka,Suspicious,True,"Lowery, Martin and Goodwin",hurleymelissa@example.com,7907604840,MasterCard,30050819385880,797
2020-03-16 01:49:43,43244.46,Thailand,Suspicious,True,Gray-Gordon,clifford36@example.com,+1-510-279-7220x917,Visa,5312806744051170,742
2020-11-27 16:50:46,746.43,Tokelau,Normal,False,"Perez, Smith and Castro",butlertanya@example.com,9823194110,Visa,5212952255828878,660
2021-09-29 11:29:00,30223.27,Anguilla,Suspicious,True,Rich-Spencer,ricardopark@example.com,001-693-450-5703,Visa,4241137827835362250,782
2023-11-12 00:53:38,21648.94,Slovenia,Suspicious,True,"Bailey, Gibbs and Gomez",lflores@example.com,+1-277-318-9579,BankTransfer,4145283641958,847
2021-03-30 17:32:43,784.48,Gibraltar,Suspicious,False,Meyers Inc,angela75@example.org,501-288-5625x814,MasterCard,4188842292152,694
2021-07-24 22:05:46,63888.15,Armenia,Normal,True,Ramirez-Moreno,parkercarlos@example.com,+1-779-441-8175,MasterCard,344555894933785,827
2021-09-18 00:23:19,8282.43,Sri Lanka,Normal,True,Escobar LLC,sara83@example.net,340-614-3461x36057,BankTransfer,213198474315624,738
2020-06-12 01:47:49,1172.66,Turkey,Normal,True,Fuller and Sons,ythompson@example.net,766-434-2464,BankTransfer,675972196454,834
2020-08-28 22:24:33,43679.38,Cote d'Ivoire,Normal,True,Willis-Moses,jameserickson@example.net,891-388-5639x34219,MasterCard,3518664904286657,785
2021-08-08 21:38:37,32474.7,Montenegro,Suspicious,True,Smith Inc,danielsanders@example.org,749-625-2798x136,BankTransfer,213169310741893,667
2020-03-03 18:36:23,89420.4,Nauru,Normal,True,Gonzalez-Watkins,samuelparker@example.org,495.883.4721x36390,MasterCard,341332867137759,607
2023-08-19 10:44:01,90307.69,Suriname,Normal,True,"Mcgrath, Howe and Davidson",jennifer45@example.com,(393)481-8953x85957,MasterCard,213193901183547,678
2021-02-21 19:15:38,70396.76,Congo,Suspicious,True,"Leonard, Rodriguez and Cooper",christinaparker@example.net,687.812.4111,Visa,30430011665042,701
2022-05-05 12:51:30,89662.73,Russian Federation,Normal,True,Knight LLC,leemichael@example.org,+1-885-212-2055,MasterCard,30423780086110,629
2023-09-23 06:02:56,72398.38,Djibouti,Normal,True,Everett-Gallagher,petersonkaren@example.org,(399)522-9970x0453,Visa,374157750350460,829
2020-03-22 12:41:55,96498.89,Faroe Islands,Suspicious,True,"Jennings, Harris and Clark",castrosteven@example.com,+1-876-934-8443x1717,Visa,4285690828620357,609
2021-11-15 18:36:12,37345.83,Argentina,Suspicious,True,Mccann Inc,xsmith@example.net,+1-925-934-3443,MasterCard,213152184789016,689
2023-03-20 17:19:08,80213.0,Pitcairn Islands,Normal,True,"Floyd, Glover and Sanders",orobinson@example.org,465-274-5696x6765,BankTransfer,4755627978477304,648
